index,disease,target_url,crawl_time
1,上皮样囊肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
2,下肢神经损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
3,丘脑下部损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
4,中枢神经细胞瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
5,亚急性硬膜外血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
6,侧脑室肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
7,先天性肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
8,共济失调型脑瘫,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
9,出血性脑卒中,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
10,副肿瘤性小脑变性,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
11,副肿瘤性边缘...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
12,化脓性脑膜炎,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
13,化脓性颅骨骨髓炎,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
14,原发性脑干损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
15,嗅沟脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
16,垂体瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
17,垂体腺瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
18,外伤后低颅压综合征,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
19,外伤后头痛,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
20,外伤后脑脂肪栓塞,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
21,外伤后脑膨出,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
22,外伤后颅内积气,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
23,外伤性低颅内...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
24,外伤性硬脑膜下积液,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
25,外伤性硬膜下积液,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
26,外伤性脑脊液漏,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
27,外伤性脑脓肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
28,外伤性脑膜炎,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
29,外伤性颈内动...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
30,多发性脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
31,多发性颅内血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
32,大脑凸面脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
33,大脑大静脉瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
34,大脑镰旁脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
35,头皮损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
36,头皮撕脱伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
37,头皮血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
38,室管膜肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
39,小脑幕脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
40,小脑扁桃体下疝,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
